state,date,poverty_absolute,poverty_hardcore,poverty_relative
Perak,1/1/2009,3.5,0.5,13.3
Perak,1/1/2012,1.5,0.2,18.6
Perak,1/1/2014,0.7,0.1,16
Perak,1/1/2016,0.2,0,14.1
Perak,1/1/2019,7.3,0.5,11.3
Perak,1/1/2020,11.4,1.5,11.1
Perak,1/1/2022,7.5,0.2,13.5
Perlis,1/1/1970,73.9,,
Perlis,1/1/1976,59.8,,
Perlis,1/1/1979,63.1,,
Perlis,1/1/1984,33.7,11.7,
Perlis,1/1/1987,29.1,7.4,
Perlis,1/1/1989,17.2,3.2,
Perlis,1/1/1992,19.8,4.1,
Perlis,1/1/1995,11.8,2.7,13.1
Perlis,1/1/1997,10.6,2.6,15.1
Perlis,1/1/1999,13.3,2.8,15.7
Perlis,1/1/2002,10.1,1.8,19.5
Perlis,1/1/2004,6.3,1.7,15.8
Perlis,1/1/2007,6.8,1.4,18.9
Perlis,1/1/2009,6,0.8,17
Perlis,1/1/2012,1.9,0.5,19.2
Perlis,1/1/2014,0.2,0,10.1
Perlis,1/1/2016,0.1,0,12
Perlis,1/1/2019,3.9,0.3,12
Perlis,1/1/2020,9.9,1.4,14.3
Perlis,1/1/2022,4,0.1,12.6
Pulau Pinang,1/1/1970,43.7,,
Pulau Pinang,1/1/1976,32.4,,
Pulau Pinang,1/1/1979,19.7,,
Pulau Pinang,1/1/1984,13.4,4.1,
Pulau Pinang,1/1/1987,12.9,4,
Pulau Pinang,1/1/1989,8.9,2.1,
Pulau Pinang,1/1/1992,4,1.1,
Pulau Pinang,1/1/1995,4,0.7,18.4
Pulau Pinang,1/1/1997,1.6,0.2,16.5
Pulau Pinang,1/1/1999,2.7,0.3,16.6
Pulau Pinang,1/1/2002,1.4,0.3,20.3
Pulau Pinang,1/1/2004,0.3,0,15.8
Pulau Pinang,1/1/2007,1.4,0.1,15.2
Pulau Pinang,1/1/2009,1.2,0.1,15.4
Pulau Pinang,1/1/2012,0.6,0,16.5
Pulau Pinang,1/1/2014,0.3,0,12.4
Pulau Pinang,1/1/2016,0.1,0,6.6
Pulau Pinang,1/1/2019,1.9,0.1,13.2
Pulau Pinang,1/1/2020,3.3,0.3,12.2
Pulau Pinang,1/1/2022,2,0.1,15.3
Sabah,1/1/1976,58.3,,
Sabah,1/1/1979,40.7,,
Sabah,1/1/1984,33.1,9.7,
Sabah,1/1/1987,35.3,8.7,
Sabah,1/1/1989,29.7,9.3,
Sabah,1/1/1992,27.8,6.8,
Sabah,1/1/1995,22.6,4.9,19.6
Sabah,1/1/1997,22.1,2,19.7
Sabah,1/1/1999,20.1,3.4,16.3
Sabah,1/1/2002,16,3.1,21.1
Sabah,1/1/2004,24.2,6.9,21.2
Sabah,1/1/2007,16.4,3.8,15.8
Sabah,1/1/2009,19.7,4.8,19.5
Sabah,1/1/2012,8.1,1.6,18.6
Sabah,1/1/2014,4,0.6,16.3
Sabah,1/1/2016,2.9,0.2,17.6
Sabah,1/1/2019,19.5,1.5,14.7
Sabah,1/1/2020,25.3,2.7,13.2
Sabah,1/1/2022,19.7,1.2,14.5
Sarawak,1/1/1976,56.5,,
Sarawak,1/1/1979,47.8,,
Sarawak,1/1/1984,31.9,10,
Sarawak,1/1/1987,24.7,4.4,
Sarawak,1/1/1989,21,3.3,
Sarawak,1/1/1992,19.2,3,
Sarawak,1/1/1995,10,1.3,17.9
Sarawak,1/1/1997,7.5,0.7,16.8
Sarawak,1/1/1999,6.7,0.7,16.2
Sarawak,1/1/2002,5.8,0.6,18
Sarawak,1/1/2004,7.5,1.1,15.1
Sarawak,1/1/2007,4.2,0.7,13.6
Sarawak,1/1/2009,5.3,1,16.4
Sarawak,1/1/2012,2.4,0.3,19.6
Sarawak,1/1/2014,0.9,0.1,17.1
Sarawak,1/1/2016,0.6,0.1,16.8
Sarawak,1/1/2019,9,0.4,15.2
Sarawak,1/1/2020,12.9,0.9,12.3
Sarawak,1/1/2022,10.8,0.4,16.2
Selangor,1/1/1970,29.2,,
Selangor,1/1/1976,22.9,,
Selangor,1/1/1979,14.5,,
Selangor,1/1/1984,8.6,2.5,
Selangor,1/1/1987,8.9,1.9,
Selangor,1/1/1989,7.8,1.1,
Selangor,1/1/1992,4.3,0.6,
Selangor,1/1/1995,2.2,0.5,19.4
Selangor,1/1/1997,1.3,0.3,20.2
Selangor,1/1/1999,2,0.2,19
Selangor,1/1/2002,1.1,0.2,17.3
Selangor,1/1/2004,1,0,17.8
Selangor,1/1/2007,0.7,0.1,16
Selangor,1/1/2009,0.7,0.1,16.2
Selangor,1/1/2012,0.4,0,15.6
Selangor,1/1/2014,0.2,0,11.1
Selangor,1/1/2016,0,0,10.7
Selangor,1/1/2019,1.2,0.2,15.3
Selangor,1/1/2020,1.7,0.3,13.9
Selangor,1/1/2022,1.5,0,14.2
Terengganu,1/1/1970,68.9,,
Terengganu,1/1/1976,60.3,,
Terengganu,1/1/1979,53.1,,
Terengganu,1/1/1984,28.9,11.6,
Terengganu,1/1/1987,36.1,15.1,
Terengganu,1/1/1989,31.2,10.4,
Terengganu,1/1/1992,25.6,9.2,
Terengganu,1/1/1995,23.4,7.5,18.7
Terengganu,1/1/1997,17.3,5,19.8
Terengganu,1/1/1999,14.9,4.9,18.7
Terengganu,1/1/2002,10.7,2.8,15.8
Terengganu,1/1/2004,15.4,4.4,16.1
Terengganu,1/1/2007,6.4,0.8,13.3
Terengganu,1/1/2009,4,0.5,12.1
Terengganu,1/1/2012,1.7,0.2,20.5
Terengganu,1/1/2014,0.6,0.1,13.7
Terengganu,1/1/2016,0.4,0,10.2
Terengganu,1/1/2019,6.1,0.3,8.2
Terengganu,1/1/2020,12,1.1,10.7
Terengganu,1/1/2022,6.2,0.2,6.9
W.P. Kuala Lumpur,1/1/1984,4.9,1.4,
W.P. Kuala Lumpur,1/1/1987,5.2,1,
W.P. Kuala Lumpur,1/1/1989,3.8,0.5,
W.P. Kuala Lumpur,1/1/1992,1.7,0.3,
W.P. Kuala Lumpur,1/1/1995,0.5,0,17.3
W.P. Kuala Lumpur,1/1/1997,0.1,0.1,18.8
W.P. Kuala Lumpur,1/1/1999,2.3,0,17.4
W.P. Kuala Lumpur,1/1/2002,0.5,0,18.2
W.P. Kuala Lumpur,1/1/2004,1.5,0.2,18.7
W.P. Kuala Lumpur,1/1/2007,1.5,0.1,17.8
W.P. Kuala Lumpur,1/1/2009,0.7,0.1,16.8
W.P. Kuala Lumpur,1/1/2012,0.8,0.1,12.3
W.P. Kuala Lumpur,1/1/2014,0.1,0,13.3
W.P. Kuala Lumpur,1/1/2016,0,0,13.8
W.P. Kuala Lumpur,1/1/2019,0.2,0,10.6
W.P. Kuala Lumpur,1/1/2020,0.4,0,9.1
W.P. Kuala Lumpur,1/1/2022,1.4,0,12.7
W.P. Labuan,1/1/1999,,,21.6
W.P. Labuan,1/1/2002,,,21.6
W.P. Labuan,1/1/2004,2.7,0.2,14.1
W.P. Labuan,1/1/2007,4.2,0.1,15.3
W.P. Labuan,1/1/2009,4.3,0.7,17.9
W.P. Labuan,1/1/2012,1.1,0,17.6
W.P. Labuan,1/1/2014,1.1,0.1,14.1
W.P. Labuan,1/1/2016,0,0,11.6
W.P. Labuan,1/1/2019,3.1,0,12.9
W.P. Labuan,1/1/2020,5.2,0.1,11.8
W.P. Labuan,1/1/2022,2.5,0,7
W.P. Putrajaya,1/1/2007,0,0,16.6
W.P. Putrajaya,1/1/2009,0,0,11.1
W.P. Putrajaya,1/1/2012,0,0,4.9
W.P. Putrajaya,1/1/2014,0,0,7.9
W.P. Putrajaya,1/1/2016,0,0,6.8
W.P. Putrajaya,1/1/2019,0.4,0,12.1
W.P. Putrajaya,1/1/2020,0.2,0,11.2
W.P. Putrajaya,1/1/2022,0.1,0,11.4
